ID,Make,Model,Color,Year,Price,Type
1,Toyota,Corolla,White,2020,20000,car
2,Honda,Civic,Black,2019,22000,car
3,Ford,Mustang,Red,2021,35000,motorcycle
4,Chevrolet,Malibu,Blue,2018,18000,car
5,Nissan,Altima,Gray,2020,21000,car
6,BMW,3 Series,White,2021,40000,car
7,Mercedes-Benz,C-Class,Black,2020,42000,car
8,Audi,A4,Blue,2019,38000,car
9,Volkswagen,Passat,Gray,2018,19000,car
10,Hyundai,Elantra,Red,2020,17000,car
11,Kia,Optima,White,2019,18000,car
12,Subaru,Impreza,Black,2021,25000,car
13,Mazda,3,Blue,2020,20000,car
14,Acura,TLX,Gray,2019,33000,car
15,Infiniti,Q50,Red,2021,37000,car
16,Lexus,IS,White,2020,39000,car
17,Jaguar,XE,Black,2019,45000,car
18,Alfa Romeo,Giulia,Blue,2021,47000,car
19,Genesis,G70,Gray,2020,38000,car
20,Volvo,S60,Red,2019,36000,car
21,Tesla,Model 3,White,2021,50000,car
22,Chevrolet,Camaro,Black,2020,37000,motorcycle
23,Dodge,Challenger,Blue,2019,34000,motorcycle
24,Ford,Fusion,Gray,2018,20000,car
25,Honda,Accord,Red,2020,25000,car
26,Toyota,Camry,White,2019,24000,car
27,Nissan,Maxima,Black,2021,32000,car
28,BMW,5 Series,Blue,2020,55000,car
29,Mercedes-Benz,E-Class,Gray,2019,57000,car
30,Audi,A6,Red,2021,60000,car
31,Volkswagen,Jetta,White,2020,19000,car
32,Hyundai,Sonata,Black,2019,21000,car
33,Kia,Stinger,Blue,2021,33000,car
34,Subaru,Legacy,Gray,2020,22000,car
35,Mazda,6,Red,2019,23000,car
36,Acura,RLX,White,2021,54000,car
37,Infiniti,Q70,Black,2020,56000,car
38,Lexus,ES,Blue,2019,43000,car
39,Jaguar,XF,Gray,2021,48000,car
40,Alfa Romeo,Stelvio,Red,2020,50000,motorcycle
41,Genesis,G80,White,2019,52000,car
42,Volvo,S90,Black,2021,58000,car
43,Tesla,Model S,Blue,2020,80000,car
44,Chevrolet,Impala,Gray,2019,28000,car
45,Dodge,Durango,Red,2021,45000,motorcycle
46,Ford,Explorer,White,2020,40000,motorcycle
47,Honda,Pilot,Black,2019,38000,motorcycle
48,Toyota,Highlander,Blue,2021,42000,motorcycle
49,Nissan,Pathfinder,Gray,2020,39000,motorcycle
50,BMW,X5,Red,2019,60000,motorcycle
